SC_ratio,H2_yield
1.0,2.3370956594323875
1.5,2.6027463606010017
2.0,2.656777011686144
2.5,2.6747872287145245
3.0,2.6837923372287147
3.5,2.6882948914858096
4.0,2.692797445742905
4.5,2.692797445742905
5.0,2.692797445742905
